Date,Adj Close SPY
6/6/2005,115.41
6/7/2005,115.5
6/8/2005,115.29
6/9/2005,115.83
6/10/2005,115.57
6/13/2005,115.93
6/14/2005,116.2
6/15/2005,116.42
6/16/2005,116.72
6/17/2005,117.15
6/20/2005,117.19
6/21/2005,117.26
6/22/2005,117.35
6/23/2005,115.7
6/24/2005,114.85
6/27/2005,115.02
6/28/2005,115.98
6/29/2005,115.67
6/30/2005,115.05
7/1/2005,115.38
7/5/2005,116.31
7/6/2005,115.34
7/7/2005,115.79
7/8/2005,117.11
7/11/2005,117.71
7/12/2005,118.02
7/13/2005,118.18
7/14/2005,118.65
7/15/2005,118.58
7/18/2005,118.11
7/19/2005,118.75
7/20/2005,119.16
7/21/2005,118.46
7/22/2005,119.26
7/25/2005,118.92
7/26/2005,119.06
7/27/2005,119.5
7/28/2005,120.25
7/29/2005,119.45
8/1/2005,119.36
8/2/2005,120.08
8/3/2005,120.39
8/4/2005,119.43
8/5/2005,118.62
8/8/2005,118.4
8/9/2005,119.11
8/10/2005,119.05
8/11/2005,119.53
8/12/2005,118.79
8/15/2005,119.53
8/16/2005,117.97
8/17/2005,117.96
8/18/2005,117.95
8/19/2005,118.22
8/22/2005,118.22
8/23/2005,118
8/24/2005,116.95
8/25/2005,117.37
8/26/2005,116.57
8/29/2005,117.47
8/30/2005,116.85
8/31/2005,118.33
9/1/2005,118.24
9/2/2005,118.03
9/6/2005,119.41
9/7/2005,119.61
9/8/2005,119.22
9/9/2005,120.28
9/12/2005,120.04
9/13/2005,119.37
9/14/2005,118.94
9/15/2005,118.88
9/16/2005,119.72
9/19/2005,119.33
9/20/2005,118.32
9/21/2005,117.21
9/22/2005,117.63
9/23/2005,117.73
9/26/2005,117.86
9/27/2005,117.83
9/28/2005,117.95
9/29/2005,118.91
9/30/2005,119.28
10/3/2005,118.85
10/4/2005,117.51
10/5/2005,115.97
10/6/2005,115.56
10/7/2005,115.95
10/10/2005,114.97
10/11/2005,114.81
10/12/2005,113.91
10/13/2005,113.84
10/14/2005,115.04
10/17/2005,115.47
10/18/2005,114.22
10/19/2005,116.12
10/20/2005,114.07
10/21/2005,114.52
10/24/2005,116.29
10/25/2005,116.06
10/26/2005,115.72
10/27/2005,114.49
10/28/2005,116.14
10/31/2005,116.46
11/1/2005,116.81
11/2/2005,118.03
11/3/2005,118.53
11/4/2005,118.38
11/7/2005,118.49
11/8/2005,118.49
11/9/2005,118.65
11/10/2005,119.57
11/11/2005,119.98
11/14/2005,119.91
11/15/2005,119.47
11/16/2005,119.71
11/17/2005,120.83
11/18/2005,121.3
11/21/2005,121.92
11/22/2005,122.44
11/23/2005,123.15
11/25/2005,123.24
11/28/2005,122.37
11/29/2005,122.24
11/30/2005,121.58
12/1/2005,122.82
12/2/2005,122.97
12/5/2005,122.71
12/6/2005,122.94
12/7/2005,122.23
12/8/2005,122.15
12/9/2005,122.47
12/12/2005,122.58
12/13/2005,123.42
12/14/2005,123.9
12/15/2005,123.54
12/16/2005,123.15
12/19/2005,122.51
12/20/2005,122.63
12/21/2005,122.83
12/22/2005,123.47
12/23/2005,123.54
12/27/2005,122.28
12/28/2005,122.55
12/29/2005,122.01
12/30/2005,121.34
1/3/2006,123.48
1/4/2006,124.06
1/5/2006,124.14
1/6/2006,125.17
1/9/2006,125.5
1/10/2006,125.62
1/11/2006,126.02
1/12/2006,125.52
1/13/2006,125.41
1/17/2006,125.07
1/18/2006,124.57
1/19/2006,125.05
